Year,Yolo_activation,Yolo_Dur,Yolo_Fre,FA_pulse_dif,FA_Tim,FA_Mag,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_BFL_Dur,Wet_Tim,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Tim,SP_Mag,SP_ROC,SP_Dur,DS_Mag_50,DS_Dur_WS,DS_Tim,DS_7d_Low_Mag,DS_7d_Low_Tim,DS_No_Flow_Tim,DS_No_Flow_Dur,Overall_Int_Class,Int_Class,WYT,Avg,Std,CV,DS_No_Flow
2007,0,0,0,0,0,0,0,11174.2,14613,65,87,56335.5,67749.8,77576.4,0,0,0,0,0,0,152,31420,0.029927879,26,11805,279,178,8122.109707,236,,,Perennial,Perennial,dry,13785.932474868494,4614.128549354773,0.33469832800691907,0
2008,0,0,0,0,0,0,0,11959.6,19932,59,91,56335.5,67749.8,77576.4,0,0,0,0,0,0,150,37354,0.034401473,30,9420,319,180,7216.285714,387,,,Perennial,Perennial,dry,12688.87583869399,6468.191728,0.5097529371708378,0
2009,0,0,0,-9275,35,1317,20,8428.2,11288,85,133,56335.5,67749.8,77576.4,0,0,0,0,0,0,218,28325,0.103283547,10,10592,241,228,8126.142857,402,,,Perennial,Perennial,dry,12660.987243876714,6643.407180183273,0.5247147834696897,0
2010,1,4,2,0,0,0,0,11125,16279,148,103,56335.5,67749.8,77576.4,3,0,0,2,0,0,251,24000,0.068307504,12,14358,177,263,9399.857143,382,,,Perennial,Perennial,moderate,15967.276712328767,8537.150039527412,0.5346653780312862,0
2011,1,30,3,12217,69,25896,5,27409.2,32271,179,74,56335.5,67749.8,77576.4,33,9,0,3,1,0,253,41221,0.048165522,34,13679,189,287,9871.571429,401,,,Perennial,Perennial,wet,26330.178082191782,15547.183168155483,0.5904701107460684,0
2012,0,0,0,0,0,0,0,10337.1,15212.5,101,110,56335.5,67749.8,77576.4,0,0,0,0,0,0,211,25550,0.050513019,20,13846,217,231,8486,407,,,Perennial,Perennial,dry,14919.001313469946,5367.0477652705085,0.35974578006268776,0
2013,1,7,2,46403,65,56475,7,10991.7,13746,103,82,56335.5,67749.8,77576.4,8,0,0,3,0,0,185,16039,0.048837369,21,10072,287,206,6308.857143,386,,,Perennial,Perennial,dry,15647.13698630137,9660.953573166502,0.6174262794289074,0
2014,0,0,0,0,0,0,0,7182.1,10562,58,127,56335.5,67749.8,77576.4,0,0,0,0,0,0,185,16829,0.040008866,35,8073,275,220,5623,378,,,Perennial,Perennial,dry,8417.497692449315,3301.068526508232,0.39216744062423264,0
2015,0,0,0,20558.5,67,27117,8,14148,30108,5,129,56335.5,67749.8,77576.4,0,0,0,0,0,0,134,35171,0.043859169,25,6558.5,304,159,5167.142857,267,,,Perennial,Perennial,dry,9659.706849,8944.496508817836,0.9259594155750238,0
2016,1,12,2,-2487,74,10238,12,12473.7,21385.5,78,97,56335.5,67749.8,77576.4,9,0,0,2,0,0,175,56463,0.050080141,42,12725,217,217,8410.428571,386,,,Perennial,Perennial,moderate,15994.060109289618,12329.49752505878,0.7708797791686178,0
2017,1,106,5,7554,54,20092,5,59472.6,65671,75,99,56335.5,67749.8,77576.4,106,28,3,4,2,1,174,67033,0.030107877,107,12538,180,281,8621.285714,393,,,Perennial,Perennial,wet,34370.798745643835,22897.63915427615,0.6661945602057968,0
