"gauge","date","flow_cfs"
"HMC",2006-01-01,113201
"HMC",2006-01-02,101835
"HMC",2006-01-03,73912
"HMC",2006-01-04,75377
"HMC",2006-01-05,74315
"HMC",2006-01-06,64711
"HMC",2006-01-07,60806
"HMC",2006-01-08,59770
"HMC",2006-01-09,57236
"HMC",2006-01-10,56036
"HMC",2006-01-11,55948
"HMC",2006-01-12,59730
"HMC",2006-01-13,55745
"HMC",2006-01-14,57908
"HMC",2006-01-15,71405
"HMC",2006-01-16,44630
"HMC",2006-01-17,35910
"HMC",2006-01-18,36224
"HMC",2006-01-19,35496
"HMC",2006-01-20,27455
"HMC",2006-01-21,24592
"HMC",2006-01-22,21515
"HMC",2006-01-23,18548
"HMC",2006-01-24,16574
"HMC",2006-01-25,15116
"HMC",2006-01-26,14838
"HMC",2006-01-27,15232
"HMC",2006-01-28,16393
"HMC",2006-01-29,20293
"HMC",2006-01-30,19292
"HMC",2006-01-31,29744
"HMC",2006-02-01,26229
"HMC",2006-02-02,40374
"HMC",2006-02-03,38610
"HMC",2006-02-04,42711
"HMC",2006-02-05,43894
"HMC",2006-02-06,40217
"HMC",2006-02-07,37485
"HMC",2006-02-08,32773
"HMC",2006-02-09,28165
"HMC",2006-02-10,24875
"HMC",2006-02-11,22620
"HMC",2006-02-12,19973
"HMC",2006-02-13,17955
"HMC",2006-02-14,16423
"HMC",2006-02-15,14791
"HMC",2006-02-16,13305
"HMC",2006-02-17,12071
"HMC",2006-02-18,11775
"HMC",2006-02-19,11818
"HMC",2006-02-20,11079
"HMC",2006-02-21,10824
"HMC",2006-02-22,10634
"HMC",2006-02-23,10453
"HMC",2006-02-24,10241
"HMC",2006-02-25,10163
"HMC",2006-02-26,10096
"HMC",2006-02-27,15824
"HMC",2006-02-28,68132
"HMC",2006-03-01,40690
"HMC",2006-03-02,29347
"HMC",2006-03-03,28470
"HMC",2006-03-04,37399
"HMC",2006-03-05,39788
"HMC",2006-03-06,99905
"HMC",2006-03-07,76252
"HMC",2006-03-08,58867
"HMC",2006-03-09,47763
"HMC",2006-03-10,41741
"HMC",2006-03-11,39825
"HMC",2006-03-12,39392
"HMC",2006-03-13,39012
"HMC",2006-03-14,40474
"HMC",2006-03-15,39966
"HMC",2006-03-16,36708
"HMC",2006-03-17,40300
"HMC",2006-03-18,38614
"HMC",2006-03-19,35439
"HMC",2006-03-20,34228
"HMC",2006-03-21,35164
"HMC",2006-03-22,34019
"HMC",2006-03-23,32767
"HMC",2006-03-24,32024
"HMC",2006-03-25,37817
"HMC",2006-03-26,40496
"HMC",2006-03-27,34514
"HMC",2006-03-28,35366
"HMC",2006-03-29,38498
"HMC",2006-03-30,36546
"HMC",2006-03-31,34569
"HMC",2006-04-01,47035
"HMC",2006-04-02,40910
"HMC",2006-04-03,59632
"HMC",2006-04-04,73220
"HMC",2006-04-05,63405
"HMC",2006-04-06,60361
"HMC",2006-04-07,55098
"HMC",2006-04-08,53316
"HMC",2006-04-09,51919
"HMC",2006-04-10,55088
"HMC",2006-04-11,61451
"HMC",2006-04-12,91057
"HMC",2006-04-13,99219
"HMC",2006-04-14,75899
"HMC",2006-04-15,65709
"HMC",2006-04-16,70145
"HMC",2006-04-17,66612
"HMC",2006-04-18,49876
"HMC",2006-04-19,46405
"HMC",2006-04-20,43933
"HMC",2006-04-21,41651
"HMC",2006-04-22,37568
"HMC",2006-04-23,36916
"HMC",2006-04-24,33704
"HMC",2006-04-25,32945
"HMC",2006-04-26,32304
"HMC",2006-04-27,31525
"HMC",2006-04-28,31382
"HMC",2006-04-29,29181
"HMC",2006-04-30,26912
"HMC",2006-05-01,24197
"HMC",2006-05-02,21119
"HMC",2006-05-03,18812
"HMC",2006-05-04,17303
"HMC",2006-05-05,15703
"HMC",2006-05-06,14955
"HMC",2006-05-07,14650
"HMC",2006-05-08,19002
"HMC",2006-05-09,19491
"HMC",2006-05-10,18569
"HMC",2006-05-11,18188
"HMC",2006-05-12,17644
"HMC",2006-05-13,16646
"HMC",2006-05-14,16413
"HMC",2006-05-15,14706
"HMC",2006-05-16,15354
"HMC",2006-05-17,15470
"HMC",2006-05-18,15750
"HMC",2006-05-19,16335
"HMC",2006-05-20,16943
"HMC",2006-05-21,17136
"HMC",2006-05-22,17827
"HMC",2006-05-23,18518
"HMC",2006-05-24,17806
"HMC",2006-05-25,16600
"HMC",2006-05-26,16185
"HMC",2006-05-27,15731
"HMC",2006-05-28,15573
"HMC",2006-05-29,14889
"HMC",2006-05-30,14905
"HMC",2006-05-31,14632
"HMC",2006-06-01,14348
"HMC",2006-06-02,14397
"HMC",2006-06-03,14412
"HMC",2006-06-04,14672
"HMC",2006-06-05,14595
"HMC",2006-06-06,14619
"HMC",2006-06-07,14072
"HMC",2006-06-08,14137
"HMC",2006-06-09,13692
"HMC",2006-06-10,13963
"HMC",2006-06-11,13487
"HMC",2006-06-12,13731
"HMC",2006-06-13,13825
"HMC",2006-06-14,14019
"HMC",2006-06-15,13903
"HMC",2006-06-16,13853
"HMC",2006-06-17,13156
"HMC",2006-06-18,13470
"HMC",2006-06-19,13341
"HMC",2006-06-20,13190
"HMC",2006-06-21,12716
"HMC",2006-06-22,12891
"HMC",2006-06-23,12844
"HMC",2006-06-24,12841
"HMC",2006-06-25,12554
"HMC",2006-06-26,12311
"HMC",2006-06-27,12602
"HMC",2006-06-28,11651
"HMC",2006-06-29,11642
"HMC",2006-06-30,11671
"HMC",2006-07-01,11695
"HMC",2006-07-02,11829
"HMC",2006-07-03,11628
"HMC",2006-07-04,11461
"HMC",2006-07-05,11415
"HMC",2006-07-06,11466
"HMC",2006-07-07,11265
"HMC",2006-07-08,11257
"HMC",2006-07-09,11314
