"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0004-2008-05-13",2011,2011-03-02 05:04:36,2011-03-05 10:07:55,2011-03-06 13:23:58,2011-04-10 07:13:43,1,1,"up",2011-03-06 13:23:58,44783.1714285714,55528.3714285714,34.7428819444444,52.8528985485714,48.8839285714286
"UCDHIST-GS0007-2008-06-12",2014,2014-04-04 09:46:00,2014-04-06 15:28:19,2014-04-08 07:39:15,2014-04-17 19:50:34,1,1,"up",2014-04-08 07:39:15,4917.33333333333,8591.11111111111,9.5078587962963,63.1952380957143,58.1375
"UCDHIST-GS0009-2008-06-12",2012,2012-03-29 18:53:09,2012-04-02 12:46:51,2012-04-04 01:20:58,2012-04-20 03:19:02,0,1,"up",2012-04-04 01:20:58,10461.875,23547.125,16.0819907407407,56.7458333342857,55.1749999985714
"UCDHIST-GS0009-2008-06-12",2016,2016-02-28 21:45:36,2016-03-01 20:10:31,2016-03-03 00:00:11,2016-03-31 05:05:09,1,1,"up",2016-03-03 00:00:11,28764.4285714286,47485.5714285714,28.2117824074074,56.7172619042857,55.3202380942857
"UCDHIST-GS0010-2008-06-12",2011,2011-02-12 10:26:38,2011-02-16 19:10:31,2011-02-18 00:21:19,2011-03-13 04:44:11,1,1,"up",2011-02-18 00:21:19,12501.3913043478,28946.4782608696,23.1825462962963,47.8773809514286,50.5732142857143
"UCDHIST-GS0069-2003-08-06",2008,2008-04-25 23:33:12,2008-05-08 10:18:01,2008-05-09 17:40:36,2008-05-31 14:39:07,1,1,"up",2008-05-09 17:40:36,7352.13636363636,9349.27272727273,21.8739699074074,66.8744047614286,63.7488095242857
"UCDHIST-GS0104-2004-06-30",2007,2007-08-04 07:26:15,2007-08-19 00:26:18,2007-08-09 08:19:56,NA,NA,0,"up",2007-08-09 08:19:56,9206,16244,NA,70.2703580828571,71.7387939957143
"UCDHIST-GS0118-2004-07-14",2007,2007-05-10 09:44:31,2007-05-12 21:27:29,2007-05-14 13:09:58,2007-05-28 05:42:04,1,1,"up",2007-05-14 13:09:58,7078.76923076923,8595.15384615385,13.6889583333333,NA,NA
"UCDHIST-GS0119-2004-07-14",2010,2010-02-07 19:12:44,2010-02-11 07:22:14,2010-02-10 20:28:01,2010-02-24 01:34:30,1,1,"up",2010-02-10 20:28:01,8696.46153846154,23845,13.2128356481481,53.0797619057143,51.6273291928571
"UCDHIST-GS0138-2004-05-18",2007,2007-03-31 18:00:13,2007-04-01 21:26:42,2007-04-03 07:33:26,2007-04-20 06:11:51,1,1,"up",2007-04-03 07:33:26,7408.125,13199,16.9433449074074,NA,NA
"UCDHIST-GS0146-2004-05-27",2008,2008-06-17 00:15:54,2008-06-20 09:46:02,2008-06-19 11:14:42,NA,NA,0,"up",2008-06-19 11:14:42,8338,9412,NA,72.1619047614286,69.6702380971429
"UCDHIST-GS0160-2004-08-11",2007,2007-04-04 18:27:15,2007-04-11 03:37:26,2007-04-08 16:47:35,NA,NA,0,"up",2007-04-08 16:47:35,7644,13425,NA,NA,NA
