"animal_id","water_year","last_detection_startup_2","first_detection_endup","status","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"CDFWA15-1219868-2017-01-11",2018,2017-11-19 15:11:59,NA,"up_incomplete",0,"up",2017-11-19 15:11:59,5373.26829268293,11827.6341463415,NA,56.1428571428571,57.8333333328571
"CDFWA15-1333944-2020-10-27",2022,2022-09-02 12:30:22,NA,"up_incomplete",0,"up",2022-09-02 12:30:22,3504,7075,NA,75.2714285714286,74.0285714285714
"PSMFCOT08-1038637-2016-07-16",2019,2019-03-10 20:43:32,2019-04-20 17:34:44,"up_complete",1,"up",2019-03-10 20:43:32,37831,54115.7804878049,40.8688888888889,53.0285714285714,52.5714285714286
"PSMFCOT08-1038640-2018-07-31",2021,2021-03-19 04:03:53,2021-04-15 15:23:29,"up_complete",1,"up",2021-03-19 04:03:53,5416.17857142857,7867.82142857143,27.4719444444444,55.4142857142857,54.9285714285714
"PSMFCOT08-1038642-2018-07-31",2022,2022-02-27 23:13:55,2022-03-29 13:05:18,"up_complete",1,"up",2022-02-27 23:13:55,4016.3,9560.3,29.577349537037,53.9857142857143,53.0142857142857
"PSMFCOT08-1038648-2018-11-07",2022,2022-04-02 15:12:01,2022-04-15 16:59:30,"up_complete",1,"up",2022-04-02 15:12:01,3990.92307692308,7164.92307692308,13.0746412037037,63.5142857142857,62.5857142857143
"PSMFCOT08-1038649-2017-05-03",2020,2020-03-15 07:29:21,2020-04-27 06:30:31,"up_complete",1,"up",2020-03-15 07:29:21,6784.48780487805,11196.5238095238,42.9591435185185,56.6857142857143,57.7285714285714
"PSMFCOT08-1126563-2018-07-17",2021,2021-04-24 11:58:01,2021-05-16 09:53:29,"up_complete",1,"up",2021-04-24 11:58:01,6322.45454545455,5923.31818181818,21.9135185185185,64.4428571428572,64.8333333333333
"PSMFCOT08-1126565-2018-07-17",2021,2021-04-07 23:32:55,2021-04-22 19:08:18,"up_complete",1,"up",2021-04-07 23:32:55,5304.57142857143,6585.21428571429,14.8162384259259,62.3,60.4571428571429
"PSMFCOT08-1126567-2016-07-15",2020,2020-03-19 20:08:46,2020-04-18 08:01:48,"up_complete",1,"up",2020-03-19 20:08:46,6867.20689655172,12042.8333333333,29.495162037037,56.4571428571429,57.7285714285714
"PSMFCOT08-13372-2018-12-04",2021,2021-04-02 15:00:38,2021-04-19 09:15:46,"up_complete",1,"up",2021-04-02 15:00:38,5284.25,6934.625,16.7605092592593,61.1857142857143,58.1857142857143
