"animal_id","water_year","route","route_cluster","migration_binary"
"UCDHIST-GS0004-2008-05-13",2011,"1 -> 2 -> 4 -> 5 -> 15 -> 16 -> 17 -> 18 -> 20 -> 19 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0007-2008-06-12",2014,"1 -> 2 -> 4 -> 5 -> 15 -> 16 -> 6 -> 17 -> 19 -> 20 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0009-2008-06-12",2012,"1 -> 2 -> 4 -> 5 -> 6 -> 14 -> 17 -> 18 -> 19 -> 20 -> 22 -> 23 -> 24",0,1
"UCDHIST-GS0009-2008-06-12",2016,"1 -> 2 -> 4 -> 5 -> 6 -> 16 -> 17 -> 20 -> 19 -> 22 -> 24",1,1
"UCDHIST-GS0010-2008-06-12",2011,"1 -> 2 -> 4 -> 5 -> 6 -> 15 -> 17 -> 18 -> 20 -> 19 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0069-2003-08-06",2008,"1 -> 2 -> 4 -> 3 -> 7 -> 11 -> 8 -> 14 -> 17 -> 20 -> 19 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0118-2004-07-14",2007,"1 -> 2 -> 4 -> 5 -> 6 -> 15 -> 14 -> 13 -> 17 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0138-2004-05-18",2007,"1 -> 2 -> 4 -> 5 -> 6 -> 7 -> 13 -> 16 -> 17 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0162-2004-08-13",2007,"1 -> 2 -> 4 -> 3 -> 5 -> 6 -> 13 -> 14 -> 16 -> 17 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0192-2005-08-05",2008,"1 -> 2 -> 4 -> 5 -> 6 -> 15 -> 16 -> 17 -> 19 -> 20 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0197-2005-08-08",2009,"1 -> 2 -> 4 -> 5",NA,0
"UCDHIST-GS0197-2005-08-08",2010,"1 -> 2 -> 4 -> 5 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> 22 -> 24",1,1
"UCDHIST-GS0214-2005-08-30",2009,"1 -> 2 -> 4 -> 5",NA,0
"UCDHIST-GS0214-2005-08-30",2010,"1 -> 2 -> 4 -> 5 -> 6 -> 14 -> 13 -> 17 -> 18 -> 19 -> 20 -> 24",0,1
"UCDHIST-GS0222-2005-10-16",2010,"1 -> 2 -> 4 -> 5 -> 6 -> 14 -> 13 -> 17 -> 18 -> 19 -> 20 -> 22 -> 24",0,1
"UCDHIST-GS0224-2005-10-17",2009,"1 -> 2 -> 4 -> 3 -> 5 -> 15 -> 16 -> 17 -> 19 -> 20 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0230-2005-10-29",2010,"1 -> 2 -> 4 -> 5 -> 6 -> 15 -> 16 -> 18 -> 17 -> 19 -> 20 -> 22 -> 24",1,1
"UCDHIST-GS0232-2005-11-04",2010,"1 -> 2 -> 4 -> 3 -> 5 -> 15 -> 6 -> 14 -> 13 -> 16 -> 17 -> 18 -> 19 -> 20 -> 22 -> 24",1,1
"UCDHIST-GS0233-2005-11-14",2009,"1 -> 2 -> 4 -> 5 -> 6 -> 14 -> 17 -> 19 -> 20 -> 24",0,1
"UCDHIST-GS0265-2005-08-02",2008,"1 -> 2 -> 4 -> 5 -> 6 -> 15 -> 17 -> 19 -> 20 -> 22 -> 24",1,1
"UCDHIST-GS0285-2005-09-23",2007,"1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 16 -> 17 -> 19 -> 22 -> 23 -> 24",1,1
"UCDHIST-GS0302-2006-06-14",2009,"1 -> 2 -> 4 -> 5 -> 6 -> 15 -> 14 -> 13 -> 16 -> 17 -> 19 -> 20 -> 22 -> 23 -> 24",0,1
"UCDHIST-GS0303-2006-06-28",2009,"1 -> 2 -> 4 -> 3",NA,0
"UCDHIST-GS0303-2006-06-28",2010,"1 -> 2 -> 4 -> 5 -> 6 -> 14 -> 13 -> 16 -> 17 -> 18 -> 19 -> 20 -> 22 -> 23 -> 24",0,1
"UCDHIST-GS0303-2006-06-28",2012,"1 -> 2",NA,0
"UCDHIST-GS0305-2006-06-30",2010,"1 -> 2 -> 4 -> 5 -> 6 -> 14 -> 13 -> 16 -> 18 -> 17 -> 19 -> 20 -> 22 -> 23 -> 24",0,1
